aX,aY,aZ,gX,gY,gZ
-0.526,-0.671,-0.612,-71.533,-10.986,17.761
-0.522,-0.649,-0.609,-72.754,-8.728,24.597
-0.519,-0.637,-0.585,-73.303,-6.592,28.992
-0.510,-0.609,-0.553,-73.242,-2.869,31.128
-0.505,-0.609,-0.529,-73.914,3.540,32.593
-0.484,-0.596,-0.523,-75.562,12.146,35.339
-0.464,-0.585,-0.503,-78.430,19.836,37.598
-0.449,-0.583,-0.505,-83.862,24.902,40.466
-0.423,-0.594,-0.472,-93.079,26.855,44.067
-0.395,-0.603,-0.419,-104.675,27.222,46.631
-0.375,-0.590,-0.316,-115.173,28.503,47.180
-0.396,-0.575,-0.209,-122.864,33.752,47.852
-0.408,-0.592,-0.152,-127.747,41.931,50.842
-0.408,-0.610,-0.097,-132.080,48.584,58.167
-0.375,-0.638,0.000,-138.672,53.345,66.772
-0.331,-0.670,0.098,-146.790,58.289,72.815
-0.306,-0.695,0.210,-153.259,64.697,76.355
-0.258,-0.749,0.324,-154.480,71.411,79.956
-0.180,-0.811,0.412,-154.724,76.782,82.092
-0.151,-0.766,0.532,-153.076,79.529,80.750
-0.146,-0.741,0.652,-145.996,80.078,78.430
-0.111,-0.766,0.696,-140.320,75.378,76.782
-0.083,-0.744,0.800,-140.991,62.439,75.012
-0.106,-0.741,0.957,-143.738,47.180,73.486
-0.086,-0.768,1.055,-144.287,36.987,73.364
-0.044,-0.826,1.113,-138.245,32.776,73.364
0.004,-0.879,1.171,-126.099,33.752,72.449
0.072,-0.916,1.156,-109.924,40.161,71.167
0.122,-0.940,1.083,-91.187,47.241,66.284
0.150,-0.946,1.022,-72.571,51.331,59.082
0.168,-0.942,0.951,-58.960,52.124,52.368
0.163,-0.920,0.890,-52.368,47.424,47.241
0.133,-0.925,0.882,-49.988,36.438,44.189
0.147,-0.932,0.878,-48.523,26.306,44.067
0.180,-0.962,0.844,-47.119,17.944,42.297
0.190,-0.980,0.813,-46.082,7.751,36.194
0.174,-0.984,0.825,-45.166,-3.052,28.503
0.151,-0.973,0.845,-44.189,-11.292,21.729
0.130,-0.987,0.863,-40.222,-14.282,16.663
0.128,-0.995,0.863,-32.349,-8.301,13.245
0.128,-0.996,0.859,-22.949,3.662,10.742
0.119,-1.005,0.842,-16.113,15.320,8.545
0.101,-1.001,0.834,-10.925,22.583,7.141
0.085,-0.997,0.806,-6.531,23.926,5.493
0.063,-0.997,0.767,-4.089,16.541,2.563
0.032,-0.987,0.737,-3.479,3.601,-1.282
-0.005,-0.964,0.705,-2.502,-9.399,-5.676
-0.036,-0.944,0.649,0.183,-19.714,-9.705
